fps,et,screenshots_num
12,1718532140,24
21,1718532141,38
15,1718532142,43
13,1718532143,46
10,1718532144,50
22,1718532145,37
17,1718532146,41
17,1718532147,41
15,1718532148,41
16,1718532149,40
17,1718532150,43
19,1718532151,37
21,1718532152,38
20,1718532153,36
18,1718532154,40
20,1718532155,38
19,1718532156,39
20,1718532157,35
17,1718532158,33
12,1718532159,41
7,1718532160,50
19,1718532161,36
17,1718532162,40
16,1718532163,42
17,1718532164,42
16,1718532165,40
18,1718532166,40
21,1718532167,37
23,1718532168,35
22,1718532169,37
21,1718532170,36
20,1718532171,38
19,1718532172,39
20,1718532173,38
20,1718532174,38
17,1718532175,42
19,1718532176,38
20,1718532177,38
20,1718532178,38
19,1718532179,38
19,1718532180,40
13,1718532181,33
12,1718532182,46
11,1718532183,50
20,1718532184,37
16,1718532185,41
17,1718532186,42
19,1718532187,39
21,1718532188,36
22,1718532189,36
20,1718532190,37
20,1718532191,39
20,1718532192,38
20,1718532193,39
20,1718532194,38
20,1718532195,37
18,1718532196,40
20,1718532197,39
19,1718532198,38
18,1718532199,37
20,1718532200,37
17,1718532201,41
14,1718532202,44
7,1718532203,51
21,1718532204,36
16,1718532205,42
17,1718532206,40
16,1718532207,42
18,1718532208,40
19,1718532209,38
22,1718532210,37
18,1718532211,41
21,1718532212,37
18,1718532213,39
20,1718532214,37
20,1718532215,38
16,1718532216,41
14,1718532217,46
8,1718532218,50
18,1718532219,39
17,1718532220,41
19,1718532221,40
21,1718532222,36
22,1718532223,37
22,1718532224,36
22,1718532225,36
21,1718532226,36
20,1718532227,38
22,1718532228,34
21,1718532229,37
17,1718532230,40
20,1718532231,41
20,1718532232,39
19,1718532233,37
20,1718532234,40
20,1718532235,39
20,1718532236,38
14,1718532237,44
12,1718532238,46
6,1718532239,53
27,1718532240,37
18,1718532241,32
16,1718532242,41
15,1718532243,40
20,1718532244,38
21,1718532245,37
17,1718532246,41
20,1718532247,37
20,1718532248,37
20,1718532249,40
19,1718532250,36
20,1718532251,39
16,1718532252,42
12,1718532253,47
21,1718532254,37
21,1718532255,38
21,1718532256,36
22,1718532257,36
20,1718532258,37
23,1718532259,36
20,1718532260,37
20,1718532261,39
20,1718532262,38
20,1718532263,38
20,1718532264,37
20,1718532265,39
18,1718532266,39
20,1718532267,38
19,1718532268,40
20,1718532269,37
19,1718532270,39
20,1718532271,38
20,1718532272,38
17,1718532273,40
13,1718532274,44
7,1718532275,52
24,1718532276,33
18,1718532277,40
14,1718532278,40
16,1718532279,42
15,1718532280,43
14,1718532281,44
16,1718532282,42
18,1718532283,38
21,1718532284,37
19,1718532285,39
20,1718532286,38
20,1718532287,38
20,1718532288,38
20,1718532289,39
17,1718532290,42
15,1718532291,43
9,1718532292,48
18,1718532293,40
22,1718532294,39
16,1718532295,42
15,1718532296,43
15,1718532297,43
17,1718532298,42
21,1718532299,38
21,1718532300,36
15,1718532301,35
20,1718532302,39
20,1718532303,39
19,1718532304,36
22,1718532305,37
16,1718532306,42
14,1718532307,44
7,1718532308,51
21,1718532309,37
18,1718532310,38
17,1718532311,41
16,1718532312,43
17,1718532313,41
17,1718532314,42
18,1718532315,38
20,1718532316,40
21,1718532317,37
22,1718532318,36
22,1718532319,37
20,1718532320,38
19,1718532321,38
19,1718532322,38
19,1718532323,37
17,1718532324,41
21,1718532325,36
18,1718532326,38
21,1718532327,38
19,1718532328,35
16,1718532329,39
15,1718532330,44
8,1718532331,49
21,1718532332,39
18,1718532333,39
16,1718532334,42
15,1718532335,41
21,1718532336,38
21,1718532337,36
21,1718532338,36
21,1718532339,39
20,1718532340,37
22,1718532341,37
20,1718532342,38
19,1718532343,39
16,1718532344,43
15,1718532345,42
6,1718532346,52
25,1718532347,33
17,1718532348,41
15,1718532349,42
16,1718532350,42
19,1718532351,38
22,1718532352,39
20,1718532353,39
18,1718532354,40
20,1718532355,39
20,1718532356,37
19,1718532357,38
19,1718532358,38
17,1718532359,42
14,1718532360,44
7,1718532361,35
14,1718532362,47
23,1718532363,38
20,1718532364,38
21,1718532365,36
22,1718532366,38
21,1718532367,36
22,1718532368,37
19,1718532369,37
20,1718532370,38
20,1718532371,39
19,1718532372,38
20,1718532373,37
19,1718532374,39
17,1718532375,40
19,1718532376,39
20,1718532377,35
20,1718532378,36
19,1718532379,36
20,1718532380,38
20,1718532381,37
