et,brisque,piqe
1721397802,49.89233,30.40651
1721397803,51.01668,29.30923
1721397804,51.77499,30.81852
1721397805,51.28051,29.65911
1721397806,51.57398,29.96489
1721397807,50.71939,31.0635
1721397808,52.89136,31.6644
1721397809,52.10728,31.98071
1721397810,51.25255,30.70886
1721397811,52.66865,31.21667
1721397812,51.43423,30.69449
1721397813,52.28224,30.53634
1721397814,52.63471,32.15987
1721397815,51.01279,29.21115
1721397816,51.50771,30.85426
1721397817,51.2125,29.68686
1721397818,51.34044,31.12432
1721397819,51.28221,30.12535
1721397820,51.31357,29.96958
1721397821,51.08313,31.50413
1721397822,51.42636,30.01032
1721397823,51.41958,29.77434
1721397824,51.19696,29.19333
1721397825,51.24372,31.00308
1721397826,51.11004,28.47819
1721397827,50.95245,30.05254
1721397828,50.61064,29.93341
1721397829,51.34477,28.96388
1721397830,50.33532,30.64041
1721397831,50.82732,30.10235
1721397832,51.20539,30.93162
1721397833,51.63779,30.40123
1721397834,51.3083,31.5332
1721397835,50.71006,29.26292
1721397836,51.23743,28.79998
1721397837,51.10563,30.20703
1721397838,51.04187,29.66089
1721397839,51.08713,29.91483
1721397840,50.54626,30.11943
1721397841,50.82653,29.31573
1721397842,50.80104,29.48575
1721397843,51.35417,29.78705
1721397844,51.04677,31.58541
1721397845,50.68323,29.29332
1721397846,51.14178,30.01226
1721397847,50.78082,28.82427
1721397848,50.93541,29.57881
1721397849,51.03527,30.11073
1721397850,51.0407,30.61609
1721397851,50.52436,28.70915
1721397852,50.4909,27.98687
1721397853,50.71025,29.17681
1721397854,51.56127,29.53743
1721397855,50.85059,27.67267
1721397856,50.72054,30.16549
1721397857,50.04786,29.60369
1721397858,49.40048,29.80614
1721397859,49.55239,30.08552
1721397860,50.12962,29.36252
1721397861,50.16083,28.66153
1721397862,50.09791,29.87489
1721397863,50.20427,31.31351
1721397864,50.99619,31.51366
1721397865,50.91856,30.27199
1721397866,50.49982,30.82247
1721397867,49.85511,30.40898
1721397868,50.76747,29.81872
1721397869,49.8187,30.64918
1721397870,49.69727,31.42263
1721397871,50.13101,30.6708
1721397872,49.81171,30.10737
1721397873,49.77904,29.44353
1721397874,50.12429,29.8942
1721397875,49.44146,29.08988
1721397876,49.81359,30.07127
1721397877,50.40578,30.0377
1721397878,50.49222,31.16851
1721397879,50.85646,31.18753
1721397880,50.5057,29.80926
1721397881,50.38174,29.25498
1721397882,49.72275,28.4786
1721397883,50.96198,29.2248
1721397884,50.2295,29.6547
1721397885,51.94219,29.35401
1721397886,51.07699,28.83739
1721397887,50.08393,29.87147
1721397888,50.07749,30.16085
1721397889,50.24193,30.65889
1721397890,50.31221,30.30878
1721397891,50.49966,29.79593
1721397892,50.49197,30.4679
1721397893,50.35705,29.53858
1721397894,50.60122,29.90497
1721397895,50.27788,29.70258
1721397896,50.44387,28.66792
1721397897,50.88087,29.72552
1721397898,50.54262,29.89517
1721397899,50.30389,29.28644
1721397900,50.13819,30.37255
1721397901,50.25809,29.5865
1721397902,50.4296,30.05436
1721397903,49.95485,30.96698
1721397904,50.45297,30.54456
1721397905,50.02721,31.17153
1721397906,50.05347,28.93905
1721397907,50.12442,30.20435
1721397908,50.22053,29.02875
1721397909,49.73602,30.91159
1721397910,49.87375,30.17748
1721397911,49.95542,30.39662
1721397912,49.80108,29.7847
1721397913,49.99402,28.59064
1721397914,49.90106,29.43921
1721397915,50.39661,29.99848
1721397916,50.41773,29.79121
1721397917,50.33091,29.72749
1721397918,49.50345,30.40321
1721397919,49.30939,30.13701
1721397920,49.11884,28.69262
1721397921,49.22449,29.5984
1721397922,50.38133,29.18096
1721397923,50.87795,29.82792
1721397924,50.34933,32.27794
1721397925,51.07995,30.89814
1721397926,51.86242,31.03898
1721397927,50.89658,30.86988
1721397928,51.08985,30.20378
1721397929,50.00458,30.26252
1721397930,49.99783,31.70684
1721397931,50.89596,30.22434
1721397932,51.53137,28.9167
1721397933,51.45602,30.45368
1721397934,51.11157,29.18605
1721397935,51.27819,30.1086
1721397936,50.41653,28.64434
1721397937,51.49664,29.39233
1721397938,51.88501,30.86637
1721397939,52.03439,27.99406
1721397940,51.88727,29.83962
1721397941,52.7892,29.91261
1721397942,51.06208,30.78001
1721397943,50.89606,30.19436
1721397944,49.47322,30.3986
1721397945,49.55777,31.21641
1721397946,49.72566,29.98235
1721397947,50.21744,30.55204
1721397948,49.14872,31.09795
1721397949,49.22095,30.72286
1721397950,49.89529,31.0053
1721397951,50.26974,29.28373
1721397952,50.14697,30.1067
1721397953,49.52048,29.94784
1721397954,49.66369,30.53548
1721397955,49.64069,30.53522
1721397956,49.19013,29.32337
1721397957,49.26469,30.11318
1721397958,50.79744,29.28113
1721397959,50.6996,31.15052
1721397960,49.81419,29.31837
1721397961,49.9372,29.64458
1721397962,48.98802,29.88024
1721397963,49.39331,29.62352
1721397964,49.75017,27.94299
1721397965,51.04948,30.30609
1721397966,50.30848,30.52919
1721397967,50.02097,28.91641
1721397968,50.01788,30.23172
1721397969,49.84617,30.78771
1721397970,49.25299,29.40357
1721397971,49.9476,31.14635
1721397972,49.97016,30.73164
1721397973,50.22756,30.60676
1721397974,48.78807,30.10583
1721397975,49.0322,29.183
1721397976,48.83138,28.82441
1721397977,50.10166,29.47219
1721397978,49.99719,31.0043
1721397979,50.17858,30.01601
1721397980,50.09015,28.44639
1721397981,50.10745,30.47899
1721397982,50.01654,30.19624
1721397983,50.9671,31.65954
1721397984,50.6674,30.13027
1721397985,50.92263,29.76777
1721397986,50.42159,29.35054
1721397987,50.71401,29.57106
1721397988,51.16313,28.40836
1721397989,51.03067,31.6181
1721397990,50.49727,30.91613
1721397991,48.77858,28.93029
1721397992,48.53649,31.00354
1721397993,47.52957,30.21887
1721397994,50.0949,31.01039
1721397995,51.37645,31.14955
1721397996,50.45139,29.40664
1721397997,50.89474,30.88291
1721397998,50.61045,30.11339
1721397999,51.79067,32.21586
1721398000,51.18286,31.73296
1721398001,51.89238,29.61651
1721398002,52.00027,30.36886
1721398003,51.09565,30.7955
1721398004,51.12059,30.093
1721398005,50.85112,29.60757
1721398006,50.52822,28.85571
1721398007,50.72485,29.96565
1721398008,49.99311,30.12388
1721398009,51.40649,30.15832
1721398010,51.1206,29.37471
1721398011,51.4955,29.72097
1721398012,51.58371,29.90303
1721398013,51.06057,30.59209
1721398014,51.47206,30.26596
1721398015,51.58207,30.40895
1721398016,51.19993,30.653
1721398017,50.54071,28.90711
1721398018,50.3935,29.45055
1721398019,50.84867,29.78283
1721398020,51.58537,29.77568
1721398021,51.44561,29.89137
1721398022,51.67292,30.2288
1721398023,51.48449,30.02043
1721398024,51.56041,29.69134
1721398025,51.36344,30.67578
1721398026,51.08989,29.27057
1721398027,50.33328,30.01579
1721398028,49.46465,31.91177
1721398029,49.66533,28.96359
1721398030,49.54839,30.75075
1721398031,49.77341,29.7667
1721398032,51.04981,30.61227
1721398033,50.67258,29.63009
1721398034,50.6585,31.17603
1721398035,51.52499,31.29617
1721398036,51.73632,31.02549
1721398037,51.44748,30.46751
1721398038,51.43633,30.56754
1721398039,51.08514,30.83948
1721398040,50.47676,30.34835
1721398041,50.39885,31.16676
1721398042,49.91018,30.98764
1721398043,51.0499,31.81731
